Rank,Product_name,Ratings,Num_ratings,Num_reviews,DP,MRP,Remarks,Link
rank,product name,stars,ratings,reviews,price,net price,remarks,link
14,"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,116415,10293,14999,16999,,https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&srno=b_1_14&otracker=browse&lid=LSTMOBFHUQ4ZPZX89G6HJKRJW&fm=organic&iid=850fffb3-d828-4289-822d-d3375c2443c1.MOBFHUQ4ZPZX89G6.SEARCH&ssid=rb1r79nccw0000001566802202088
15,"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,116415,10293,14999,16999,,https://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfhvueapyyqn2d?pid=MOBFHUQ4WFPBGHPK&srno=b_1_15&otracker=browse&lid=LSTMOBFHUQ4WFPBGHPKQUVYEF&fm=organic&iid=02277031-22bc-4d18-a927-897c57228b92.MOBFHUQ4WFPBGHPK.SEARCH&ssid=rb1r79nccw0000001566802202088
16,"Redmi Note 7S (Onyx Black, 64 GB)",4.4,62980,5154,11999,13999,,https://www.flipkart.com/redmi-note-7s-onyx-black-64-gb/p/itmfh75fh2ggjgag?pid=MOBFGGJ8AUXSTH6D&srno=b_1_16&otracker=browse&lid=LSTMOBFGGJ8AUXSTH6D2LMGNY&fm=organic&iid=a40cfe35-796c-4dd8-a1c0-c185a48f7592.MOBFGGJ8AUXSTH6D.SEARCH&ssid=rb1r79nccw0000001566802202088
17,"Redmi Note 7S (Sapphire Blue, 32 GB)",4.4,131461,12338,9999,11999,,https://www.flipkart.com/redmi-note-7s-sapphire-blue-32-gb/p/itmfgpbacwygthha?pid=MOBFGGJ8Z7ZQVHSZ&srno=b_1_17&otracker=browse&lid=LSTMOBFGGJ8Z7ZQVHSZQRRF6R&fm=organic&iid=594acc01-2294-4bb6-a9e6-2510619a14a6.MOBFGGJ8Z7ZQVHSZ.SEARCH&ssid=rb1r79nccw0000001566802202088
18,"Vivo Z1Pro (Sonic Blue, 64 GB)",4.5,86782,9745,14990,15990,,https://www.flipkart.com/vivo-z1pro-sonic-blue-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5NZH8XCGB&srno=b_1_18&otracker=browse&lid=LSTMOBFHHT5NZH8XCGBSRHJKG&fm=organic&iid=fb488020-38a6-40ba-a485-ad7c6d23a573.MOBFHHT5NZH8XCGB.SEARCH&ssid=rb1r79nccw0000001566802202088
19,"Vivo Z1Pro (Sonic Blue, 128 GB)",4.5,32718,3759,17990,20990,,https://www.flipkart.com/vivo-z1pro-sonic-blue-128-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5ADHZQAJH&srno=b_1_19&otracker=browse&lid=LSTMOBFHHT5ADHZQAJH5ZTNQM&fm=organic&iid=15b8f74e-83eb-4a31-b4be-b3eb0fe1759f.MOBFHHT5ADHZQAJH.SEARCH&ssid=rb1r79nccw0000001566802202088
20,"Redmi 7A (Matte Gold, 32 GB)",4.4,65524,4620,6199,6999,,https://www.flipkart.com/redmi-7a-matte-gold-32-gb/p/itmfhz4cfwesj6qh?pid=MOBFHZ4BYCMVJHVU&srno=b_1_20&otracker=browse&lid=LSTMOBFHZ4BYCMVJHVUFCFNDF&fm=organic&iid=a7b6f281-d2b5-404c-bd29-8369b7e9214f.MOBFHZ4BYCMVJHVU.SEARCH&ssid=rb1r79nccw0000001566802202088
21,"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,379569,35751,13999,15999,,https://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfegkx8nbcze6t?pid=MOBFDXZ376XRTZXH&srno=b_1_21&otracker=browse&lid=LSTMOBFDXZ376XRTZXHWRK63O&fm=organic&iid=e9786448-3ff5-4653-8440-ff7d34feb275.MOBFDXZ376XRTZXH.SEARCH&ssid=rb1r79nccw0000001566802202088
22,"Redmi Note 7S (Onyx Black, 32 GB)",4.4,131461,12338,9999,11999,,https://www.flipkart.com/redmi-note-7s-onyx-black-32-gb/p/itmfgpbaq3wyvgwq?pid=MOBFGGJ8VUGCYUTU&srno=b_1_22&otracker=browse&lid=LSTMOBFGGJ8VUGCYUTU7PSQH5&fm=organic&iid=4a7a9d1a-8d9c-4dca-8c2d-7f84a5ee9b0a.MOBFGGJ8VUGCYUTU.SEARCH&ssid=rb1r79nccw0000001566802202088
23,"Realme X (Onion, 128 GB)",4.6,16745,2443,19999,20999,,https://www.flipkart.com/realme-x-onion-128-gb/p/itmfgybqzcgbxs26?pid=MOBFGYBQABAFRBYS&srno=b_1_23&otracker=browse&lid=LSTMOBFGYBQABAFRBYS6CAMA3&fm=organic&iid=8e3b5b6f-b54b-46c6-b400-1e45e157192c.MOBFGYBQABAFRBYS.SEARCH&ssid=rb1r79nccw0000001566802202088
