Rank,Product_name,Ratings,Num_ratings,Num_reviews,DP,MRP,Remarks,Link
rank,product name,stars,ratings,reviews,price,net price,remarks,link
1,"Realme C2 (Diamond Black, 16 GB)",4.4,272138,26701,5999,6999,,https://www.flipkart.com/realme-c2-diamond-black-16-gb/p/itmfgwbaahz6ph9j?pid=MOBFFMG3FGAFZYVE&srno=b_1_1&otracker=browse&lid=LSTMOBFFMG3FGAFZYVEPQOEDM&fm=organic&iid=48878785-755c-4cf1-9b1c-76a95d3c7086.MOBFFMG3FGAFZYVE.SEARCH&ssid=x02pm1kd1c0000001566802343631
2,"Realme C2 (Diamond Blue, 16 GB)",4.4,272138,26701,5999,6999,,https://www.flipkart.com/realme-c2-diamond-blue-16-gb/p/itmfgwbaahz6ph9j?pid=MOBFFMG3GGTPYZGK&srno=b_1_2&otracker=browse&lid=LSTMOBFFMG3GGTPYZGKFALLR1&fm=organic&iid=d36dcc36-b0e3-4b78-964e-9531d59008ec.MOBFFMG3GGTPYZGK.SEARCH&ssid=x02pm1kd1c0000001566802343631
3,"Realme 3i (Diamond Red, 64 GB)",4.4,18508,1784,9999,10999,,https://www.flipkart.com/realme-3i-diamond-red-64-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQ5QP8GYTN&srno=b_1_3&otracker=browse&lid=LSTMOBFGYBQ5QP8GYTNIJBPOE&fm=organic&iid=6abea8e0-8837-4d89-88f7-3086696dbf68.MOBFGYBQ5QP8GYTN.SEARCH&ssid=x02pm1kd1c0000001566802343631
4,"Realme 3i (Diamond Blue, 32 GB)",4.4,69641,7466,7999,8999,,https://www.flipkart.com/realme-3i-diamond-blue-32-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQQGUB9YFQ&srno=b_1_4&otracker=browse&lid=LSTMOBFGYBQQGUB9YFQNAUOSQ&fm=organic&iid=953cd150-857f-4c8f-858b-40d03ded3dda.MOBFGYBQQGUB9YFQ.SEARCH&ssid=x02pm1kd1c0000001566802343631
5,"Realme 3i (Diamond Black, 32 GB)",4.4,69641,7466,7999,8999,,https://www.flipkart.com/realme-3i-diamond-black-32-gb/p/itmfgybqvazmnmmd?pid=MOBFGYBQ8NKDAMRB&srno=b_1_5&otracker=browse&lid=LSTMOBFGYBQ8NKDAMRBAJ7FY7&fm=organic&iid=de3c5aa7-8abe-47a0-9e8a-9c7796e58658.MOBFGYBQ8NKDAMRB.SEARCH&ssid=x02pm1kd1c0000001566802343631
6,"Redmi 7A (Matte Blue, 32 GB)",4.4,65978,4644,6199,6999,,https://www.flipkart.com/redmi-7a-matte-blue-32-gb/p/itmfhz4cztznu8kk?pid=MOBFHZ4BZW2GM6UH&srno=b_1_6&otracker=browse&lid=LSTMOBFHZ4BZW2GM6UH1MY0IQ&fm=organic&iid=023ce488-8ea5-44a7-b8d5-055c653f1536.MOBFHZ4BZW2GM6UH.SEARCH&ssid=x02pm1kd1c0000001566802343631
7,"Samsung Galaxy J6 (Black, 64 GB)",4.5,31555,1935,9490,12900,,https://www.flipkart.com/samsung-galaxy-j6-black-64-gb/p/itmf5bkh5snxdanh?pid=MOBF5BKHAK33A75F&srno=b_1_7&otracker=browse&lid=LSTMOBF5BKHAK33A75FF5GAS6&fm=organic&iid=a4efbbb1-1b13-46c9-8506-d6ec20bf8ae2.MOBF5BKHAK33A75F.SEARCH&ssid=x02pm1kd1c0000001566802343631
8,"Samsung Galaxy J6 (Blue, 64 GB)",4.5,31555,1935,9490,12900,,https://www.flipkart.com/samsung-galaxy-j6-blue-64-gb/p/itmf5bkhbshehpg9?pid=MOBF5BKHVHFGWYHB&srno=b_1_8&otracker=browse&lid=LSTMOBF5BKHVHFGWYHBEIO1EB&fm=organic&iid=9886a3df-7751-41b6-b0ec-44f448e03a56.MOBF5BKHVHFGWYHB.SEARCH&ssid=x02pm1kd1c0000001566802343631
9,"Redmi 7A (Matte Black, 32 GB)",4.4,65978,4644,6199,6999,,https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itmfhz4cm2yz93xx?pid=MOBFHZ4BRKSMDXH7&srno=b_1_9&otracker=browse&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&fm=organic&iid=9cea405f-b0b9-4a52-a711-402dcbd2f181.MOBFHZ4BRKSMDXH7.SEARCH&ssid=x02pm1kd1c0000001566802343631
