Location,Latitude,Longitude
District Nagaur,27.206969,73.6895026
Mihona,26.2854499,78.9719903
Naidu Peta,13.9027039,79.8740993
Pudukkottai District,10.2956779,78.2847036
Rabkavi Banhatti,16.4835273,75.1030217
Kaithal,29.791841,76.3375544
Kotputli,27.7047241,76.1566251
Jalpaiguri,26.5324618,88.6116862
Niz Hajo,26.3199798,91.5573476
"Kharar,",30.7467606,76.6181332
Mamun,37.2811053,127.0507571
Bijnor,29.3786329,78.1042093
Ranjangaon,18.7566476,74.2337178
Chikiti,19.2016317,84.5920656
Srivaikuntam,8.6310022,77.904246
Ntpc Barh Township,37.2811053,127.0507571
Mandya,12.5224561,76.8616998
Gaya,24.7833122,84.9470613
Anthiyur,11.5791226,77.5721883
Dhakauli,30.654329,76.8259944
Changsari,26.2587507,91.6770457
Champahati,22.4011678,88.4749387
Narasapur,16.4328831,81.6725993
Himmatnagar,23.6051169,72.933039
Dharamkot,32.2474155,76.323765
Thangadh,22.5719889,71.1263441
Amrapur,37.2811053,127.0507571
Thiruvananthapuram District,8.5779542,76.6974383
Perumbaikad,9.6184277,76.4998846
Bisauli,28.3052092,78.9186143
Shyamdhan,37.2811053,127.0507571
Patan,37.2811053,127.0507571
Dattapur Dhamangaon,20.7981591,78.1269304
Puranattukara,10.5453806,76.1419408
Nannambra,11.0069044,75.8942153
Sapatgram,26.3267397,90.1099552
Pundri,29.7602028,76.5393447
Pandual,37.2811053,127.0507571
Bara Suzapur,37.2811053,127.0507571
Raja Ka Rampur,27.5500957,79.1121705
Kakkalapalle,37.2811053,127.0507571
Perinad,8.9438173,76.5930772
Jatani,20.1612165,85.6782954
Kakkodi,11.3188592,75.7898712
Khairabad District Sitapur,27.5314662,80.7329678
Kalol,23.2280743,72.4671327
Sikandrabad,28.4493088,77.6788605
Satna,24.5793684,80.7330082
Murbad Midc,19.2629233,73.3825188
Mahua Dabra Haripura,29.2772589,78.7728054
Ashwaraopet,17.2442801,81.1049247
Sarsawan,30.0182857,77.3817748
Cheepurupalli,18.3096763,83.5573144
Nani Daman,20.4152449,72.8321611
Kathaura,26.5095889,81.5119654
Thiruthuraipoondi,10.5318285,79.6301528
Gochar,30.2861219,79.1386412
Eranapuram,11.5627395,77.9664608
Dharamasala,32.2167773,76.3016556
Kodumur,15.6841032,77.7616925
Palia Kalan,28.433245,80.5611519
Komalapuram,9.5390496,76.3250361
Pandaul,26.2564575,86.0601834
Chittoir,13.306833,77.9374029
Pethanaickenpalayam,11.6497563,78.5000181
Deola,37.2811053,127.0507571
Kadambathur,13.1006185,79.8519587
Vazhapadi,11.6558923,78.3856914
Sathupalli,17.2075271,80.8086003
Ballepalle,17.2733814,80.1754492
Kandhamal,20.1268692,83.4826608
Mendu,37.2811053,127.0507571
Ranipur,37.2811053,127.0507571
Sarangarh,21.5860887,83.0590719
Kallam,37.2811053,127.0507571
Surgana,20.5587162,73.6330935
Anwari,37.2811053,127.0507571
Konark,19.8906109,86.0736106
Hoshiarpur District,31.6027116,75.3518905
Pudussery,10.672638,76.7481708
Nagri Kalan,23.8198741,86.3262353
Kanpur City,26.4471054,80.1982971
Fatehganj Purvi,37.2811053,127.0507571
Lanja,16.8569452,73.501505
Chinchani,19.8844258,72.6691745
Veerapandianpattinam,8.5282891,78.0995139
Deoband,29.6907935,77.6638045
Jangipur,24.4637473,88.0614766
Arumanai,8.3687026,77.2323417
Makhu,31.1075024,74.9725577
Gagret,31.6604401,76.0529099
Baragaon Jhansi,25.4767149,78.6972998
Kutch,23.6962239,67.678753
Walwa,-35.9951853,147.5989802
Khetia,21.6715168,74.5776951
Sri Ganganagar,29.9090984,73.8440325
Nalkheda,23.8406681,76.2274672
Basavakalyan,17.8678812,76.9354948
Jhujhunu,37.2811053,127.0507571
Kalaigaon Town Part,26.5715623,91.966842
Arumuganeri,8.5688029,78.0753575
Berasia,23.6284831,77.4239372
Gourdanda,37.2811053,127.0507571
Cherukunnu,12.0058771,75.2559197
Loharu,28.4269462,75.7950484
Kurthi Jafarpur,37.2811053,127.0507571
Santipur,23.2508862,88.4135828
Kila Ambur,37.2811053,127.0507571
Katra,32.9847528,74.9130891
Padrauna,26.8993142,83.9591824
Itarsi,22.6125833,77.7193283
Gharsana,29.0256459,73.06303
Purna,19.1817194,77.0126289
Sevur,11.2618305,77.2068493
Puthunagaram,10.6797329,76.6652798
Ambad,18.0739043,75.3266704
Rehti,22.7379025,77.4271666
Bhavani,37.2811053,127.0507571
Vakkom,8.6900362,76.7477308
Shirdi,19.7605597,74.4415133
Vasai (west),19.3693312,72.7711074
Piplya Mandi,24.195391,74.9947604
Ganpatipule,17.1530909,73.2607196
Taraori,29.7955846,76.8949836
Terkukallikulam,37.2811053,127.0507571
Hubblli,37.2811053,127.0507571
Durganagar Pt Iv,37.2811053,127.0507571
Makhdumpur,25.0665514,84.9687175
Warangal Rural,37.2811053,127.0507571
Wcl Umred,37.2811053,127.0507571
Manakunnam,9.8789774,76.3304359
Sewarhi,26.7220635,84.2102666
Bidadi Industrial Area,37.2811053,127.0507571
District Vaishali,25.7527311,85.0813196
Raymond Chhindwara,37.2811053,127.0507571
Itahar,25.4485897,88.1644678
Hydrebad,17.4121531,78.1278513
Ranir Bazar,23.8342269,91.3619507
Murliganj,25.8992534,86.9852614
Biaora,23.9217204,76.8907355
Thikkody,11.4940471,75.6141849
North Goa,15.5344083,73.6993852
Dabhoi,22.1327589,73.3989278
Maralia,35.3038788,23.7905672
Sonbhadra District,24.3842092,82.4763423
Birodhi,37.2811053,127.0507571
Sulya,12.5567677,75.371752
Jogipet,17.8357647,78.0609405
Choppadandi,18.5860764,79.1562805
Suryapet District,37.2811053,127.0507571
Buxwaha,24.2502509,79.275198
Narsapuram,17.1714319,81.8537664
Bhojpur,27.1641742,86.9863534
Unguturu,16.8225341,81.4148498
Lalpur,24.1834537,88.9443469
Chhatari,28.1041677,78.1417822
Chhapra,25.7804743,84.6759843
Kudlu,37.2811053,127.0507571
Mandi Gobindgarh,30.6672014,76.2603087
Ambajogai,18.7292767,76.3511155
Chengam,12.3097725,78.7846327
Masat Industrial Area,37.2811053,127.0507571
Bahraich,27.5743245,81.5673074
Chennai.,13.0474878,80.0689252
Vaniyamkulam,37.2811053,127.0507571
Chennai 19,37.2811053,127.0507571
Majuli.,27.0072105,93.9144835
Bharatganj,25.1149741,82.2698896
Gaura Barhaj,26.2832553,83.7061213
Sidcul Haridwar,37.2811053,127.0507571
Tiptur,13.2651861,76.4408056
Lidhora Khas,25.0664909,78.8548054
Ramkola,26.8914239,83.8353654
Barpeta,26.3227265,90.9595122
Bramhapuri,20.6114513,79.8387816
Virdhunagar,9.5734396,77.9231708
Digvijaygram,22.4335398,69.8240902
Rohtas District,24.9373245,83.4225004
Virajpete,12.2043949,75.7872039
Kakoshi,23.9986187,72.284653
Chandpala Anantapathpur,37.2811053,127.0507571
Dighawani,22.2109991,78.8005454
Eramala,11.6766492,75.5757691
Oragadam Industrial Area,37.2811053,127.0507571
Nakodar,31.1256528,75.4636015
Changanassery,9.434453,76.5022946
Bakhri,25.5997042,86.2446444
Dalurband,23.7137713,87.2444108
Chhachhrauli,30.2415178,77.3466748
Manesar,28.3503635,76.934391
Kolkata.,22.6757521,88.0495361
Kakrala,27.8941436,79.1841316
Krishnapuram,37.2811053,127.0507571
Vettaikaranpudur,10.5633456,76.9079708
Unchahara,37.2811053,127.0507571
Kandla,23.0110911,70.1484404
Thiruverumbur,10.7846531,78.7602009
Tutucorin,8.7766073,78.0759769
Madhugiri,13.6621255,77.2030306
Sringeri,13.4239858,75.2405815
Kagal,16.5892847,74.2810528
Kanor,37.2811053,127.0507571
Mysore City,12.3106368,76.5656493
Uravakonda,14.9447121,77.2376574
Shornur 1,37.2811053,127.0507571
Kushinagar District,26.9258432,83.4144266
Dhrol,22.5625277,70.4052545
Sangareddy District,37.2811053,127.0507571
Tendukheda Narsimhapur District,22.766089,78.7941553
Hubuli,37.2811053,127.0507571
Pandhurna Industrial Area,37.2811053,127.0507571
Rathian,37.2811053,127.0507571
Padarathpur,28.3094448,79.4813552
Raigarh,21.8949896,83.3600567
Jaswant Nagar,26.8826108,78.8847969
Attingal,8.6932866,76.7983387
Narasimaharajapura,37.2811053,127.0507571
Kaipamangalam,10.3356494,76.1296964
Kheta Sarai,25.9677572,82.665508
Sangod,24.9242775,76.2663351
Chomu,27.1672396,75.6796351
Bhind District,26.3499047,78.1169356
Bhawanipatna,19.9105022,83.128635
Chikodi,16.4290229,74.5642947
Kushalanagara,12.4555169,75.9395138
Nyoria Husainpur,37.2811053,127.0507571
Sahpau,27.4369547,78.130753
Lanka,7.8517315,78.4616949
Rameswaram,9.2867184,79.3028783
Domariyaganj,27.2105036,82.6340136
Marehra,37.2811053,127.0507571
"Boisar,",19.7976726,72.7105417
Kyathampalle,37.2811053,127.0507571
Pawai,37.2811053,127.0507571
Vadakkumthala,9.0365362,76.5378856
Poali,22.3769741,88.1273454
Gorakhpura,37.2811053,127.0507571
Kollancode,8.2883737,77.1023619
Kochinda,21.7443912,84.3378566
Mangalam,37.2811053,127.0507571
